1,6,ny/eki_et_ptr_00001.txt
7,47,ny/eki_et_ptr_00002.txt
8,65,ny/eki_et_ptr_00003.txt
12,90,ny/eki_et_ptr_00004.txt
7,54,ny/eki_et_ptr_00005.txt
6,42,ny/eki_et_ptr_00006.txt
8,54,ny/eki_et_ptr_00007.txt
6,52,ny/eki_et_ptr_00008.txt
6,50,ny/eki_et_ptr_00009.txt
3,20,ny/eki_et_ptr_00010.txt
4,26,ny/eki_et_ptr_00011.txt
5,36,ny/eki_et_ptr_00012.txt
10,63,ny/eki_et_ptr_00013.txt
7,57,ny/eki_et_ptr_00014.txt
7,47,ny/eki_et_ptr_00015.txt
8,52,ny/eki_et_ptr_00016.txt
11,74,ny/eki_et_ptr_00017.txt
18,111,ny/eki_et_ptr_00018.txt
6,33,ny/eki_et_ptr_00019.txt
1,7,ny/eki_et_ptr_00020.txt
6,42,ny/eki_et_ptr_00021.txt
7,60,ny/eki_et_ptr_00022.txt
9,75,ny/eki_et_ptr_00023.txt
6,39,ny/eki_et_ptr_00024.txt
4,48,ny/eki_et_ptr_00025.txt
5,34,ny/eki_et_ptr_00026.txt
6,52,ny/eki_et_ptr_00027.txt
6,40,ny/eki_et_ptr_00028.txt
4,28,ny/eki_et_ptr_00029.txt
1,7,ny/eki_et_ptr_00030.txt
8,53,ny/eki_et_ptr_00031.txt
6,35,ny/eki_et_ptr_00032.txt
5,44,ny/eki_et_ptr_00033.txt
5,47,ny/eki_et_ptr_00034.txt
7,57,ny/eki_et_ptr_00035.txt
7,59,ny/eki_et_ptr_00036.txt
5,31,ny/eki_et_ptr_00037.txt
7,56,ny/eki_et_ptr_00038.txt
12,75,ny/eki_et_ptr_00039.txt
1,7,ny/eki_et_ptr_00040.txt
6,42,ny/eki_et_ptr_00041.txt
6,42,ny/eki_et_ptr_00042.txt
6,56,ny/eki_et_ptr_00043.txt
7,54,ny/eki_et_ptr_00044.txt
4,36,ny/eki_et_ptr_00045.txt
10,64,ny/eki_et_ptr_00046.txt
8,59,ny/eki_et_ptr_00047.txt
6,42,ny/eki_et_ptr_00048.txt
4,33,ny/eki_et_ptr_00049.txt
1,7,ny/eki_et_ptr_00050.txt
10,63,ny/eki_et_ptr_00051.txt
10,66,ny/eki_et_ptr_00052.txt
11,73,ny/eki_et_ptr_00053.txt
7,53,ny/eki_et_ptr_00054.txt
13,82,ny/eki_et_ptr_00055.txt
8,49,ny/eki_et_ptr_00056.txt
5,32,ny/eki_et_ptr_00057.txt
12,78,ny/eki_et_ptr_00058.txt
12,75,ny/eki_et_ptr_00059.txt
1,7,ny/eki_et_ptr_00060.txt
9,57,ny/eki_et_ptr_00061.txt
12,71,ny/eki_et_ptr_00062.txt
7,46,ny/eki_et_ptr_00063.txt
6,40,ny/eki_et_ptr_00064.txt
6,47,ny/eki_et_ptr_00065.txt
6,39,ny/eki_et_ptr_00066.txt
7,65,ny/eki_et_ptr_00067.txt
9,64,ny/eki_et_ptr_00068.txt
11,99,ny/eki_et_ptr_00069.txt
1,9,ny/eki_et_ptr_00070.txt
9,91,ny/eki_et_ptr_00071.txt
13,94,ny/eki_et_ptr_00072.txt
9,62,ny/eki_et_ptr_00073.txt
5,43,ny/eki_et_ptr_00074.txt
11,69,ny/eki_et_ptr_00075.txt
5,38,ny/eki_et_ptr_00076.txt
5,34,ny/eki_et_ptr_00077.txt
4,34,ny/eki_et_ptr_00078.txt
8,66,ny/eki_et_ptr_00079.txt
1,10,ny/eki_et_ptr_00080.txt
10,69,ny/eki_et_ptr_00081.txt
