var,expr,mathjax
F2amplitudeLogRelF0_sma3nz_stddevNorm,"italic(A)[F2]~SD[norm]","$A\mathrm{_{F2}~SD_{norm}}$"
F3frequency_sma3nz_amean,"mean~italic(F)[3]","$\mathrm{mean~}F\mathrm{_{3}}$"
F3frequency_sma3nz_stddevNorm,"italic(F)[3]~SD[norm]","$F\mathrm{_{3}~SD_{norm}}$"
F3bandwidth_sma3nz_amean,"mean~italic(B)[F3]","$\mathrm{mean~}B\mathrm{_{F3}}$"
F3bandwidth_sma3nz_stddevNorm,"italic(B)[F3]~SD[norm]","$B\mathrm{_{F3}~SD_{norm}}$"
F3amplitudeLogRelF0_sma3nz_amean,"mean~italic(A)[F3]","$\mathrm{mean~}A\mathrm{_{F3}}$"
F3amplitudeLogRelF0_sma3nz_stddevNorm,"italic(A)[F3]~SD[norm]","$A\mathrm{_{F3}~SD_{norm}}$"
alphaRatioV_sma3nz_amean,"mean~alpha~ratio~VR","$\mathrm{mean~alpha~ratio~VR}$"
alphaRatioV_sma3nz_stddevNorm,"alpha~ratio~VR~SD[norm]","$\mathrm{alpha~ratio~VR~SD_{norm}}$"
hammarbergIndexV_sma3nz_amean,"mean~Hammarberg~index~VR","$\mathrm{mean~Hammarberg~index~VR}$"
hammarbergIndexV_sma3nz_stddevNorm,"Hammarberg~index~VR~SD[norm]","$\mathrm{Hammarberg~index~VR~SD_{norm}}$"
slopeV0.500_sma3nz_amean,"mean~slope[0-500*Hz]~VR","$\mathrm{mean~slope_{0-500*Hz}~VR}$"
slopeV0.500_sma3nz_stddevNorm,"slope[0-500*Hz]~VR~SD[norm]","$\mathrm{slope_{0-500*Hz}~VR~SD_{norm}}$"
slopeV500.1500_sma3nz_amean,"mean~slope[500-1500*Hz]~VR","$\mathrm{mean~slope_{500-1500*Hz}~VR}$"
slopeV500.1500_sma3nz_stddevNorm,"slope[500-1500*Hz]~VR~SD[norm]","$\mathrm{slope_{500-1500*Hz}~VR~SD_{norm}}$"
spectralFluxV_sma3nz_amean,"mean~spectral~flux~VR","$\mathrm{mean~spectral~flux~VR}$"
spectralFluxV_sma3nz_stddevNorm,"spectral~flux~VR~SD[norm]","$\mathrm{spectral~flux~VR~SD_{norm}}$"
mfcc1V_sma3nz_amean,"mean~MFCC[1]~VR","$\mathrm{mean~MFCC_{1}~VR}$"
mfcc1V_sma3nz_stddevNorm,"MFCC[1]~VR~SD[norm]","$\mathrm{MFCC_{1}~VR~SD_{norm}}$"
mfcc2V_sma3nz_amean,"mean~MFCC[2]~VR","$\mathrm{mean~MFCC_{2}~VR}$"
mfcc2V_sma3nz_stddevNorm,"MFCC[2]~VR~SD[norm]","$\mathrm{MFCC_{2}~VR~SD_{norm}}$"
mfcc3V_sma3nz_amean,"mean~MFCC[3]~VR","$\mathrm{mean~MFCC_{3}~VR}$"
mfcc3V_sma3nz_stddevNorm,"MFCC[3]~VR~SD[norm]","$\mathrm{MFCC_{3}~VR~SD_{norm}}$"
mfcc4V_sma3nz_amean,"mean~MFCC[4]~VR","$\mathrm{mean~MFCC_{4}~VR}$"
mfcc4V_sma3nz_stddevNorm,"MFCC[4]~VR~SD[norm]","$\mathrm{MFCC_{4}~VR~SD_{norm}}$"
alphaRatioUV_sma3nz_amean,"mean~alpha~ratio~UVR","$\mathrm{mean~alpha~ratio~UVR}$"
hammarbergIndexUV_sma3nz_amean,"mean~Hammarberg~index~UVR","$\mathrm{mean~Hammarberg~index~UVR}$"
slopeUV0.500_sma3nz_amean,"mean~slope[0-500*Hz]~UVR","$\mathrm{mean~slope_{0-500*Hz}~UVR}$"
slopeUV500.1500_sma3nz_amean,"mean~slope[500-1500*Hz]~UVR","$\mathrm{mean~slope_{500-1500*Hz}~UVR}$"
spectralFluxUV_sma3nz_amean,"mean~spectral~flux~UVR","$\mathrm{mean~spectral~flux~UVR}$"
loudnessPeaksPerSec,"loudness~peaks~per~sec","$\mathrm{loudness~peaks~per~sec}$"
VoicedSegmentsPerSec,"voiced~segments~per~sec","$\mathrm{voiced~segments~per~sec}$"
MeanVoicedSegmentLengthSec,"mean~voiced~segment~length","$\mathrm{mean~voiced~segment~length}$"
StddevVoicedSegmentLengthSec,"voiced~segment~length~SD","$\mathrm{voiced~segment~length~SD}$"
MeanUnvoicedSegmentLength,"mean~unvoiced~segment~length","$\mathrm{mean~unvoiced~segment~length}$"
StddevUnvoicedSegmentLength,"unvoiced~segment~length~SD","$\mathrm{unvoiced~segment~length~SD}$"
equivalentSoundLevel_dBp,"equivalent~sound~level~dBp","$\mathrm{equivalent~sound~level~dBp}$"
