test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,25,1,S3_CHAR,3341,170,F,47,25_S3_05_CHAR.wav
137,26,6,S1_NEU,3336,170,F,47,26_S1_02_NEU.wav
137,27,1,S1_NARR,3340,170,F,47,27_S1_13_NARR.wav
137,28,1,S2_CHAR,3338,170,F,47,28_S2_02_CHAR.wav
137,29,3,S2_NEU,3342,170,F,47,29_S2_01_NEU.wav
137,30,6,S3_NARR,3343,170,F,47,30_S3_05_NARR.wav
137,31,2,S1_CHAR,3339,170,F,47,31_S1_13_CHAR.wav
137,32,6,S2_NEU,3342,170,F,47,32_S2_02_NEU.wav
137,33,6,S3_NARR,3343,170,F,47,33_S3_13_NARR.wav
137,34,3,S2_CHAR,3338,170,F,47,34_S2_08_CHAR.wav
137,35,1,S1_NEU,3336,170,F,47,35_S1_10_NEU.wav
137,36,6,S3_NARR,3343,170,F,47,36_S3_01_NARR.wav
137,37,1,S2_CHAR,3338,170,F,47,37_S2_10_CHAR.wav
137,38,5,S3_NEU,3337,170,F,47,38_S3_08_NEU.wav
137,39,3,S2_NARR,3335,170,F,47,39_S2_05_NARR.wav
137,40,6,S3_CHAR,3341,170,F,47,40_S3_13_CHAR.wav
137,41,3,S1_NEU,3336,170,F,47,41_S1_01_NEU.wav
137,42,3,S1_NARR,3340,170,F,47,42_S1_05_NARR.wav
137,43,6,S3_CHAR,3341,170,F,47,43_S3_08_CHAR.wav
137,44,7,S3_NEU,3337,170,F,47,44_S3_05_NEU.wav
137,45,5,S2_NARR,3335,170,F,47,45_S2_10_NARR.wav
137,46,2,S1_CHAR,3339,170,F,47,46_S1_08_CHAR.wav
137,47,2,S1_NEU,3336,170,F,47,47_S1_13_NEU.wav
137,48,4,S1_NARR,3340,170,F,47,48_S1_02_NARR.wav
137,49,2,S3_CHAR,3341,170,F,47,49_S3_10_CHAR.wav
137,50,4,S1_NEU,3336,170,F,47,50_S1_05_NEU.wav
137,51,4,S3_NARR,3343,170,F,47,51_S3_08_NARR.wav
137,52,1,S1_CHAR,3339,170,F,47,52_S1_10_CHAR.wav
137,53,2,S2_NEU,3342,170,F,47,53_S2_13_NEU.wav
137,54,1,S1_NARR,3340,170,F,47,54_S1_10_NARR.wav
137,55,1,S1_CHAR,3339,170,F,47,55_S1_02_CHAR.wav
137,56,7,S3_NEU,3337,170,F,47,56_S3_13_NEU.wav
137,57,3,S2_NARR,3335,170,F,47,57_S2_01_NARR.wav
137,4,2,S2_CHAR,3338,280,F,58,04_S2_01_CHAR.wav
137,5,6,S3_NEU,3337,280,F,58,05_S3_10_NEU.wav
137,6,3,S2_NARR,3335,280,F,58,06_S2_08_NARR.wav
137,7,2,S1_CHAR,3339,280,F,58,07_S1_05_CHAR.wav
137,8,6,S3_NEU,3337,280,F,58,08_S3_02_NEU.wav
137,9,5,S1_NARR,3340,280,F,58,09_S1_01_NARR.wav
137,10,2,S2_CHAR,3338,280,F,58,10_S2_05_CHAR.wav
137,11,6,S1_NEU,3336,280,F,58,11_S1_08_NEU.wav
137,12,6,S2_NARR,3335,280,F,58,12_S2_13_NARR.wav
137,13,6,S3_CHAR,3341,280,F,58,13_S3_02_CHAR.wav
137,14,3,S2_NEU,3342,280,F,58,14_S2_05_NEU.wav
137,15,5,S3_NARR,3343,280,F,58,15_S3_10_NARR.wav
137,16,3,S2_CHAR,3338,280,F,58,16_S2_13_CHAR.wav
137,17,7,S3_NEU,3337,280,F,58,17_S3_01_NEU.wav
137,18,6,S1_NARR,3340,280,F,58,18_S1_08_NARR.wav
137,19,4,S3_CHAR,3341,280,F,58,19_S3_01_CHAR.wav
137,20,4,S2_NEU,3342,280,F,58,20_S2_10_NEU.wav
137,21,4,S3_NARR,3343,280,F,58,21_S3_02_NARR.wav
137,22,3,S1_CHAR,3339,280,F,58,22_S1_01_CHAR.wav
137,23,4,S2_NEU,3342,280,F,58,23_S2_08_NEU.wav
137,24,4,S2_NARR,3335,280,F,58,24_S2_02_NARR.wav
137,25,1,S3_CHAR,3341,280,F,58,25_S3_05_CHAR.wav
137,26,5,S1_NEU,3336,280,F,58,26_S1_02_NEU.wav
137,27,4,S1_NARR,3340,280,F,58,27_S1_13_NARR.wav
137,28,2,S2_CHAR,3338,280,F,58,28_S2_02_CHAR.wav
137,29,4,S2_NEU,3342,280,F,58,29_S2_01_NEU.wav
137,30,3,S3_NARR,3343,280,F,58,30_S3_05_NARR.wav
137,31,1,S1_CHAR,3339,280,F,58,31_S1_13_CHAR.wav
137,32,5,S2_NEU,3342,280,F,58,32_S2_02_NEU.wav
137,33,4,S3_NARR,3343,280,F,58,33_S3_13_NARR.wav
137,34,4,S2_CHAR,3338,280,F,58,34_S2_08_CHAR.wav
137,35,3,S1_NEU,3336,280,F,58,35_S1_10_NEU.wav
137,36,4,S3_NARR,3343,280,F,58,36_S3_01_NARR.wav
137,37,3,S2_CHAR,3338,280,F,58,37_S2_10_CHAR.wav
137,38,4,S3_NEU,3337,280,F,58,38_S3_08_NEU.wav
137,39,3,S2_NARR,3335,280,F,58,39_S2_05_NARR.wav
137,40,3,S3_CHAR,3341,280,F,58,40_S3_13_CHAR.wav
137,41,1,S1_NEU,3336,280,F,58,41_S1_01_NEU.wav
137,42,2,S1_NARR,3340,280,F,58,42_S1_05_NARR.wav
137,43,4,S3_CHAR,3341,280,F,58,43_S3_08_CHAR.wav
137,44,5,S3_NEU,3337,280,F,58,44_S3_05_NEU.wav
137,45,3,S2_NARR,3335,280,F,58,45_S2_10_NARR.wav
137,46,1,S1_CHAR,3339,280,F,58,46_S1_08_CHAR.wav
137,47,1,S1_NEU,3336,280,F,58,47_S1_13_NEU.wav
137,48,2,S1_NARR,3340,280,F,58,48_S1_02_NARR.wav
137,49,3,S3_CHAR,3341,280,F,58,49_S3_10_CHAR.wav
137,50,2,S1_NEU,3336,280,F,58,50_S1_05_NEU.wav
137,51,3,S3_NARR,3343,280,F,58,51_S3_08_NARR.wav
137,52,1,S1_CHAR,3339,280,F,58,52_S1_10_CHAR.wav
137,53,4,S2_NEU,3342,280,F,58,53_S2_13_NEU.wav
