test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,46,3,IOK,3339,3,F.r,65,46_I08_OK.wav
137,47,5,INY,3336,3,F.r,65,47_I13_NY.wav
137,48,3,IJU,3340,3,F.r,65,48_I02_JU.wav
137,49,3,EOK,3341,3,F.r,65,49_E10_OK.wav
137,50,7,INY,3336,3,F.r,65,50_I05_NY.wav
137,51,5,EJU,3343,3,F.r,65,51_E08_JU.wav
137,52,2,IOK,3339,3,F.r,65,52_I10_OK.wav
137,53,5,MNY,3342,3,F.r,65,53_M13_NY.wav
137,54,5,IJU,3340,3,F.r,65,54_I10_JU.wav
137,55,2,IOK,3339,3,F.r,65,55_I02_OK.wav
137,56,6,ENY,3337,3,F.r,65,56_E13_NY.wav
137,57,5,MJU,3335,3,F.r,65,57_M01_JU.wav
137,4,3,MOK,3338,18,F.r,48,04_M01_OK.wav
137,5,7,ENY,3337,18,F.r,48,05_E10_NY.wav
137,6,4,MJU,3335,18,F.r,48,06_M08_JU.wav
137,7,2,IOK,3339,18,F.r,48,07_I05_OK.wav
137,8,6,ENY,3337,18,F.r,48,08_E02_NY.wav
137,9,4,IJU,3340,18,F.r,48,09_I01_JU.wav
137,10,6,MOK,3338,18,F.r,48,10_M05_OK.wav
137,11,3,INY,3336,18,F.r,48,11_I08_NY.wav
137,12,3,MJU,3335,18,F.r,48,12_M13_JU.wav
137,13,5,EOK,3341,18,F.r,48,13_E02_OK.wav
137,14,6,MNY,3342,18,F.r,48,14_M05_NY.wav
137,15,7,EJU,3343,18,F.r,48,15_E10_JU.wav
137,16,3,MOK,3338,18,F.r,48,16_M13_OK.wav
137,17,7,ENY,3337,18,F.r,48,17_E01_NY.wav
137,18,2,IJU,3340,18,F.r,48,18_I08_JU.wav
137,19,4,EOK,3341,18,F.r,48,19_E01_OK.wav
137,20,4,MNY,3342,18,F.r,48,20_M10_NY.wav
137,21,7,EJU,3343,18,F.r,48,21_E02_JU.wav
137,22,1,IOK,3339,18,F.r,48,22_I01_OK.wav
137,23,4,MNY,3342,18,F.r,48,23_M08_NY.wav
137,24,4,MJU,3335,18,F.r,48,24_M02_JU.wav
137,25,2,EOK,3341,18,F.r,48,25_E05_OK.wav
137,26,2,INY,3336,18,F.r,48,26_I02_NY.wav
137,27,2,IJU,3340,18,F.r,48,27_I13_JU.wav
137,28,4,MOK,3338,18,F.r,48,28_M02_OK.wav
137,29,5,MNY,3342,18,F.r,48,29_M01_NY.wav
137,30,6,EJU,3343,18,F.r,48,30_E05_JU.wav
137,31,2,IOK,3339,18,F.r,48,31_I13_OK.wav
137,32,4,MNY,3342,18,F.r,48,32_M02_NY.wav
